UnitName,Power_dyn,Power_leak
T0_Unit_1_18,0.00031040739934759775,8.277530649269271e-05
T0_Unit_1_19,0.00012442643196597196,3.318038185759252e-05
T0_Unit_1_20,0.00022108958222848339,5.895722192759556e-05
T0_Unit_1_21,0.00047634341517902034,0.00012702491071440541
T0_Unit_1_22,9.90435552930472e-05,2.6411614744812582e-05
T0_Unit_1_23,0.0002166697959012988,5.777861224034633e-05
T0_Unit_1_24,0.00036403606408238576,9.707628375530287e-05
T0_Unit_1_25,0.00034299583966064117,9.146555724283764e-05
T0_Unit_1_26,0.00018285768781511154,4.876205008402974e-05
T0_Unit_1_27,2.9551669557240542e-05,7.880445215264143e-06
T0_Unit_1_28,8.483183684761382e-05,2.2621823159363683e-05
T0_Unit_1_29,0.0003951817870959143,0.0001053818098922438
T0_Unit_1_30,0.0004919878299005879,0.00013119675464015674
T0_Unit_1_31,0.0002862600474395574,7.633601265054865e-05
T0_Unit_1_32,0.0001981234671610372,5.283292457627659e-05
T0_Unit_1_33,0.00010498855802931074,2.7996948807816193e-05
T0_Unit_1_34,3.9865872982270496e-05,1.0630899461938797e-05
T0_Unit_1_35,6.573272243882239e-06,1.7528725983685969e-06
T0_Unit_1_36,0.000366596715862118,9.775912422989813e-05
T0_Unit_1_37,0.0002909589635296274,7.758905694123397e-05
T0_Unit_1_38,3.2568310071644796e-05,8.684882685771946e-06
T0_Unit_1_39,0.00043544884919875733,0.00011611969311966862
T0_Unit_1_40,0.0003596607297354903,9.590952792946407e-05
T0_Unit_1_41,0.0003944077259963024,0.00010517539359901397
T0_Unit_1_42,0.00015922953436774278,4.2461209164731405e-05
T0_Unit_1_43,0.00021579398722722264,5.75450632605927e-05
T0_Unit_1_44,9.695955053760708e-05,2.585588014336189e-05
T0_Unit_1_45,0.0003000740058500022,8.001973489333391e-05
T0_Unit_1_46,0.00022826437515034495,6.0870500040091986e-05
T0_Unit_1_47,6.112225609259083e-06,1.6299268291357555e-06
T0_Unit_1_48,0.00020607557960334162,5.4953487894224425e-05
T0_Unit_1_49,0.00011333462010985705,3.0222565362628542e-05
T0_Unit_2_0,6.792952938139187e-05,1.8114541168371162e-05
T0_Unit_2_1,1.3938856773202975e-05,3.7170284728541265e-06
T0_Unit_2_2,0.0001765890225135937,4.709040600362498e-05
T0_Unit_2_3,9.858751163098528e-05,2.629000310159607e-05
T0_Unit_2_4,1.5628520954425274e-06,4.1676055878467395e-07
T0_Unit_2_5,0.0001505997257491157,4.015992686643086e-05
T0_Unit_2_6,0.00010233215789090865,2.7288575437575638e-05
T0_Unit_2_7,0.00025734653207781804,6.862574188741814e-05
T0_Unit_2_8,1.7900823346990177e-05,4.773552892530714e-06
T0_Unit_2_9,7.782896796926017e-05,2.075439145846938e-05
T0_Unit_2_10,0.0003106631971858936,8.284351924957161e-05
T0_Unit_2_11,1.3578382342917472e-07,3.620901958111326e-08
T0_Unit_2_12,0.00020393177126740554,5.438180567130813e-05
T0_Unit_2_13,8.685913233395425e-05,2.3162435289054465e-05
T0_Unit_2_14,0.0004518229587977677,0.00012048612234607137
T0_Unit_2_15,0.00014375396018678755,3.833438938314333e-05
T0_Unit_2_16,0.0003040910621320857,8.10909499018895e-05
T0_Unit_2_17,0.00025537331927730255,6.809955180728068e-05
T0_Unit_2_18,0.0004609177965750577,0.00012291141242001536
T0_Unit_2_19,0.0005208936863258038,0.00013890498302021435
T0_Unit_2_20,0.0002486042923969495,6.629447797251987e-05
T0_Unit_2_21,0.00016276388366212276,4.34037023098994e-05
T0_Unit_2_22,0.0005071348241090103,0.00013523595309573606
T0_Unit_2_23,0.00051715948778913,0.000137909196743768
T0_Unit_2_24,0.0002732529231190421,7.28674461650779e-05
T0_Unit_2_25,9.196063231072286e-05,2.452283528285943e-05
T0_Unit_2_26,0.0002835418767599072,7.561116713597524e-05
T0_Unit_2_27,0.0003798768277811471,0.00010130048740830588
T0_Unit_2_28,0.0005742470263890697,0.00015313254037041857
T0_Unit_2_29,0.0001365305444618575,3.640814518982867e-05
T0_Unit_2_30,0.00014068688214918646,3.751650190644972e-05
T0_Unit_2_31,0.00020009797354945166,5.3359459613187104e-05
T0_Unit_2_32,0.0005191499485850539,0.00013843998628934774
T0_Unit_2_33,0.0005809260882074569,0.0001549136235219885
T0_Unit_2_34,0.0005517903541285437,0.0001471440944342783
T0_Unit_2_35,0.00032362566030306545,8.630017608081744e-05
T0_Unit_2_36,0.0005579756231374028,0.0001487934995033074
